_id,brand,website_id,price_offer_price,price_regular_price,price_basket_price,5da94f4e6d97010001f81d72,5da94f270ffeca000172b12e,5d0cc7b68a66a100014acdb0,5da94ef80ffeca000172b12c,5da94e940ffeca000172b12a
5da822166504fb65da005a59,prada,5da6d40110309200045874e6,1160.0,1160.0,1160.0,,,1165.0,,
5da822607d3a9baa211f85f4,prada,5da6d40110309200045874e6,1210.0,1210.0,1210.0,,,,,605.0
5da8221a6504fb65da005a7b,prada,5da6d40110309200045874e6,855.0,855.0,855.0,,,518.0,,
5da8218b6504fb65da004fb2,prada,5da6d40110309200045874e6,700.0,700.0,700.0,,,,,357.0
5da823b76504fb65cb261ac9,prada,5da6d40110309200045874e6,880.0,880.0,880.0,,,,,440.0
5da823b76504fb65cb261ad1,prada,5da6d40110309200045874e6,1070.0,1070.0,1070.0,,,,,749.0
5da822607d3a9baa211f8624,a.p.c. atelier de production et de création,5da6d40110309200045874e6,155.0,155.0,160.0,,,,,90.0
5da820fc6504fb65da0044eb,the row,5da6d40110309200045874e6,507.5,725.0,507.5,,,,730.0,504.0
5db81088d5424ee1f33529d6,gucci,5da6d40110309200045874e6,445.0,445.0,445.0,450.0,,450.0,,445.0
5da820c66504fb65cea70317,the row,5da6d40110309200045874e6,1200.0,1200.0,1200.0,,,,,1200.0
5da8220f6504fb65da00598d,the row,5da6d40110309200045874e6,1200.0,1200.0,1200.0,,,,,1200.0
5da820756504fb65da003b2e,the row,5da6d40110309200045874e6,500.0,500.0,500.0,,,478.0,,
5da821186504fb65d41c58ee,the row,5da6d40110309200045874e6,1675.0,1675.0,1675.0,1680.0,,1795.0,,
5db81081d5424ee1f335289d,saint laurent,5da6d40110309200045874e6,425.0,425.0,425.0,,,,,425.0
5da820416504fb65da0038e1,jimmy choo,5da6d40110309200045874e6,450.0,450.0,450.0,,,455.0,,
5da820db6504fb65da004285,christian louboutin,5da6d40110309200045874e6,495.0,495.0,495.0,,,,500.0,490.0
5da820ad6504fb65da004091,christian louboutin,5da6d40110309200045874e6,585.0,585.0,585.0,,,,590.0,
5da820ff6504fb65da004551,christian louboutin,5da6d40110309200045874e6,585.0,585.0,585.0,,,,590.0,
5da8218f6504fb65c4de40cc,christian louboutin,5da6d40110309200045874e6,675.0,675.0,675.0,,,,680.0,
5da81e076504fb65da0036f5,ancient greek sandals,5da6d40110309200045874e6,140.0,140.0,145.0,,,138.0,,
5da81decb25b035d1d17ac92,castañer,5da6d40110309200045874e6,85.0,85.0,90.0,,,,,85.0
5da81abeb25b035d1d17a4d6,jimmy choo,5da6d40110309200045874e6,450.0,450.0,450.0,,,500.0,,450.0
5da81d657f3e301b4504b6d4,giuseppe zanotti,5da6d40110309200045874e6,550.0,550.0,550.0,,,540.0,,
5da81d70b25b035d1d17ac26,balenciaga,5da6d40110309200045874e6,1650.0,1650.0,1650.0,,,3305.0,,
5da820116504fb65cea70298,loewe,5da6d40110309200045874e6,1995.0,1995.0,1995.0,,,,603.0,
5da81f227861c2af6a5a9469,prada,5da6d40110309200045874e6,460.0,460.0,460.0,,,,,294.0
5db80fbed5424ee1f335237b,saint laurent,5da6d40110309200045874e6,685.0,685.0,685.0,690.0,,,,
5da81b4d6504fb65cea70096,gucci,5da6d40110309200045874e6,295.0,295.0,295.0,300.0,,,,
5db8110dd5424ee1f3352ce0,gucci,5da6d40110309200045874e6,175.0,175.0,180.0,,,180.0,,175.0
5da81ef4b25b035d1d17b16e,gucci,5da6d40110309200045874e6,1690.0,1690.0,1690.0,,,1695.0,,
5da81cfa7861c2af6a5a8a86,gucci,5da6d40110309200045874e6,445.0,445.0,445.0,,,450.0,,
5da81f2a7861c2af6a5a9519,gucci,5da6d40110309200045874e6,715.0,715.0,715.0,,,720.0,720.0,715.0
5da82193465e00845f490c87,gucci,5da6d40110309200045874e6,450.0,450.0,450.0,,,455.0,,
5da8221a6504fb65da005a8b,gucci,5da6d40110309200045874e6,2250.0,2250.0,2250.0,,,,,1800.0
5da821b4b25b035d1d17ba17,gucci,5da6d40110309200045874e6,445.0,445.0,445.0,,635.0,,,
5da82248465e00845f490d33,gucci,5da6d40110309200045874e6,1790.0,1790.0,1790.0,,,1795.0,,
5da8219e6504fb65da00511c,gucci,5da6d40110309200045874e6,990.0,990.0,990.0,,,995.0,,
5da81d967861c2af6a5a907d,gucci,5da6d40110309200045874e6,445.0,445.0,445.0,,,,320.0,
5da822ad7f3e301b4504bb61,prada,5da6d40110309200045874e6,1205.0,1205.0,1205.0,,,,,602.0
5da821c76504fb65da0054fe,prada,5da6d40110309200045874e6,415.0,415.0,415.0,,,,,249.0
5da821c2b25b035d1d17baa1,dodo bar or,5da6d40110309200045874e6,560.0,800.0,560.0,,,,,301.0
5da821cdb25b035d1d17bb9d,matteau,5da6d40110309200045874e6,73.5,73.5,78.5,,,,32.0,
5da8210e465e00845f490c63,prada,5da6d40110309200045874e6,535.0,535.0,535.0,,,585.0,,
5da820eb7861c2af6a5a971b,jennifer chamandi,5da6d40110309200045874e6,348.0,580.0,348.0,,,293.0,,
5da820ff6504fb65da004569,jennifer chamandi,5da6d40110309200045874e6,470.0,470.0,470.0,,,240.0,,
5da81e377f3e301b4504b87f,golden goose,5da6d40110309200045874e6,310.0,310.0,310.0,315.0,,340.0,315.0,300.0
5da81ee17861c2af6a5a9145,golden goose,5da6d40110309200045874e6,300.0,300.0,300.0,,,340.0,,295.0
5da81c1db25b035d1d17a9ba,aesop,5da6d40110309200045874e6,57.0,57.0,62.0,62.0,,,,
5da81d967861c2af6a5a906f,rag & bone,5da6d40110309200045874e6,94.5,94.5,99.5,,110.0,,,
5db8110cd5424ee1f3352cb4,spanx,5da6d40110309200045874e6,32.5,32.5,37.5,69.0,,,,
5da81ea66504fb65cea701e3,common projects,5da6d40110309200045874e6,340.0,340.0,340.0,,,330.0,,
5db81116d5424ee1f3352e6a,stuart weitzman,5da6d40110309200045874e6,375.0,375.0,375.0,365.0,,,,
